nombre,area,jerarquia,puntaje,cantidad_proyectos,desempenio,personas_equipo,horas_extra,asistencia_puntualidad
Empleado 1,ventas,senior,23,1,bajo,10,FALSE,40
Empleado 2,administracion,junior,72,1,bajo,8,TRUE,88
Empleado 3,ventas,senior,91,2,alto,3,FALSE,95
Empleado 4,seguridad,senior,68,4,bajo,6,FALSE,90
Empleado 5,administracion,junior,79,1,medio,4,TRUE,86
Empleado 6,ventas,senior,94,3,alto,7,TRUE,98
Empleado 7,seguridad,trainee,63,2,bajo,2,FALSE,89
Empleado 8,administracion,senior,88,1,medio,9,FALSE,93
Empleado 9,ventas,senior,75,4,medio,5,TRUE,91
Empleado 10,seguridad,senior,82,3,alto,6,FALSE,87
Empleado 11,administracion,trainee,65,2,bajo,3,FALSE,80
Empleado 12,ventas,senior,98,5,alto,8,TRUE,99
Empleado 13,seguridad,senior,70,3,bajo,4,FALSE,85
Empleado 14,administracion,junior,81,1,medio,5,TRUE,94
Empleado 15,ventas,senior,88,2,alto,6,FALSE,91
Empleado 16,seguridad,senior,77,4,medio,3,TRUE,82
Empleado 17,administracion,senior,92,1,alto,7,FALSE,96
Empleado 18,ventas,senior,78,3,medio,4,TRUE,89
Empleado 19,seguridad,trainee,66,2,bajo,5,FALSE,84
Empleado 20,administracion,junior,84,1,medio,6,TRUE,90
Empleado 21,ventas,senior,95,4,alto,7,FALSE,97
Empleado 22,seguridad,senior,73,3,medio,2,TRUE,86
Empleado 23,administracion,trainee,69,2,bajo,8,FALSE,81
Empleado 24,ventas,junior,82,1,medio,3,TRUE,93
Empleado 25,seguridad,senior,90,5,alto,4,FALSE,94
Empleado 26,administracion,senior,76,3,medio,5,TRUE,83
Empleado 27,ventas,senior,87,2,medio,6,FALSE,96
Empleado 28,seguridad,trainee,64,1,bajo,7,TRUE,80
Empleado 29,administracion,senior,93,4,alto,2,FALSE,91
Empleado 30,ventas,senior,71,3,bajo,8,TRUE,87
Empleado 31,administracion,senior,98,4,alto,6,TRUE,90
Empleado 32,seguridad,senior,78,3,medio,4,TRUE,83
Empleado 33,seguridad,junior,81,1,medio,3,FALSE,91
Empleado 34,administracion,senior,87,4,medio,9,TRUE,94
Empleado 35,seguridad,trainee,62,1,bajo,4,TRUE,88
Empleado 36,seguridad,senior,66,4,bajo,6,FALSE,94
Empleado 37,administracion,junior,73,1,medio,5,FALSE,87
Empleado 38,administracion,trainee,63,2,medio,6,TRUE,97
Empleado 39,administracion,senior,93,2,alto,7,FALSE,93
Empleado 40,ventas,senior,82,4,alto,2,FALSE,87
Empleado 41,ventas,junior,75,1,medio,3,TRUE,92
Empleado 42,seguridad,senior,84,3,medio,2,FALSE,80
Empleado 43,administracion,senior,70,3,medio,2,FALSE,82
Empleado 44,ventas,senior,98,2,alto,2,FALSE,86
Empleado 45,ventas,senior,67,4,medio,3,TRUE,95
Empleado 46,ventas,senior,94,4,alto,9,FALSE,82
Empleado 47,seguridad,senior,94,1,alto,8,FALSE,82
Empleado 48,seguridad,senior,73,3,medio,4,TRUE,94
Empleado 49,ventas,senior,85,2,alto,5,TRUE,98
Empleado 50,ventas,senior,91,4,alto,7,TRUE,86